Key	Content	Handle
LLSENEMY_SettingsMenu_Section_Upgrades	Upgrades	hd77b5837g7edag4a4cgbf65g812d6dab70b7
LLSENEMY_SettingsMenu_Section_Hardmode	Hardmode	ha17708c3g1ac2g4036g9a44gd94ccc794825
LLSENEMY_SettingsMenu_Section_Elites	Elites	h38919f09ga85eg44f8gb1e1g025663ee336b
LLSENEMY_SettingsMenu_Section_LevelScaling	Level Scaling	h9915de70gf6d4g44a3g8d65ge4b44ea17266
LLSENEMY_SettingsMenu_Section_Duplication	Enemy Duplication	h49ff6a24gb788g48f0g871cg98390ff6dcb5
LLSENEMY_SettingsMenu_Section_Misc	Misc	h256c71a6ge40dg4ed5gbaffgd20cf19ccab3
LLENEMY_AuraUpgradesDisabled	Disable Auras	h33ba4dc1g6f4ag481bga5f3g46197d44c9d8
LLENEMY_AuraUpgradesDisabled_Description	Aura upgrades include upgrades like Fire Brand and Vacuum Aura.	h6b214033gf1d4g4f73gb121gecf893af7126
LLENEMY_BonusBuffUpgradesDisabled	Disable Bonus Buffs	ha903a113gffa1g498ag9d6cg671b4a630418
LLENEMY_BonusBuffUpgradesDisabled_Description	Bonus buff upgrades include stronger rare ones like Rage, Seeker, and Perseverance Mastery.	ha903a113gffa1g498ag9d6cg671b4a630418
LLENEMY_BonusSkillsUpgradesDisabled	Disable Bonus Skills	h393e18a0g0f6bg4b97ga8b5g49c8d8b014ef
LLENEMY_BuffUpgradesDisabled	Disable Buffs	h71fdfdebg8b3dg4f00gb6b6g5538a3f38a80
LLENEMY_ClassUpgradesUpgradesDisabled	Disable Classes	hae0d1287g0506g4975g9bc3g7b50c5009113
LLENEMY_Debug_LevelCapDisabled	[Debug] Disable Level Cap	hb507b7f9g3a42g4d8bg93aegebe13b908ff5
LLENEMY_DuplicationUpgradesDisabled	Disable Duplication	hbba8088cg05f5g42c8gb5a5gd0f32dd157b7
LLENEMY_EnemyLevelingEnabled	Enable Enemy Level Scaling	ha3f84340g5d90g493cg82a3g694fc62b4228
LLENEMY_HardmodeEnabled	Enable Hardmode	hbc479dedg4841g4a76g9647g253280972dd8
LLENEMY_HardmodeRollingDisabled Disable Bonus Rolls		h6e247ec1gcc9ag4134g90d4gc1d6c5897b2c
LLENEMY_ImmunityUpgradesDisabled	Disable Immunities	hf27abd79gae4bg4fc1g82e6g794c46d7de42
LLENEMY_PureRNGMode	Enable Pure RNG Mode	h71e8ba4cgbb08g48f3ga521gb0320118084a
LLENEMY_RewardsDisabled	Disable Rewards	h582a8e7eg3fe8g46f4ga652g5ba5576c1217
LLENEMY_SourceBonusSkillsDisabled	Disable Source Bonus Skills	h0cdd5cb9g1984g41a4g9594gc2985e6a1426
LLENEMY_SummoningUpgradesDisabled	Disable Summoning	h69d5f5ccg1e2eg413fgb4b9gf6ec7d93f2f2
LLENEMY_TalentUpgradesDisabled	Disable Talents	h99de5375g8b9ag4253g9179g1f5736864ffe
LLENEMY_PolymorphSkillUpgradesDisabled	Disable Polymorph Upgrades	h2f139ed6g928bg482cg9887g8af8b8ba6a84
LLENEMY_VoidwokenSourceSpawningEnabled	Spawn Voidwoken from Source Skills	he0cce29cge8eag4139gaf2dg567db71ce8b5
LLENEMY_Variable_AutoLeveling_Modifier	Level Modifier	h2d1b58e7g43fdg47b9gbcf7g937916656917
LLENEMY_Variable_Hardmode_MinBonusRolls	Min Bonus Upgrades	h05a9e971g599dg4863g9a3cg9b3944d5d764
LLENEMY_Variable_Hardmode_MaxBonusRolls	Max Bonus Upgrades	hb70864f6g78fcg4fe9g8cb3g579c3ae439a3
LLENEMY_Variable_Hardmode_StatusBonusTurnsMin	Min Upgrade Turn Bonus	h6f0bb7bcg37f6g42fcg9c3dg76e71dafd44d
LLENEMY_Variable_Hardmode_StatusBonusTurnsMax	Max Upgrade Turn Bonus	hbce40d08g423bg4869g8f67g46fd7febbfb1
LLENEMY_Variable_BonusSkills_Min	Min Bonus Skills	h1c56b275gf13cg410fga7f4gd6e9ac70f1c9
LLENEMY_Variable_BonusSkills_Max	Max Bonus Skills	h68593f7eg355dg4211g973cg573d95596bd2
LLENEMY_Variable_Duplication_MinDupesPerEnemy	Min Dupe Per Enemy	h5b2b12d9gbd9ag4c92g9160g1fc072381764
LLENEMY_Variable_Duplication_MaxDupesPerEnemy	Max Dupe Per Enemy	h6f4317feg0eefg4ea4g9b45gc97ec1385e92
LLENEMY_Variable_Duplication_MaxTotal	Max Total Duplicants	hbea71555g8a2bg493cgb32cg22ac6058249e
LLENEMY_Variable_Duplication_Chance	Duplication Chance	h4514bf16g2dc3g49fag964cgc96a8d2c0aad
LLENEMY_Variable_Hardmode_EliteMultiplier	Elite Bonus Multiplier	h87d832d2gca5dg4086g9e83g5bcf2467d3c7
LLENEMY_Variable_Elites_ArmorBoostPerRank	Armor Boost Per Elite Rank	h6f5be1ccgd091g4d26gad6bg9101ca2af32a
LLENEMY_Variable_Elites_MagicArmorBoostPerRank	Magic Armor Boost Per Elite Rank	h2dbf41eeg812bg46c2g9235g65d23c6d60dc
LLENEMY_Variable_Elites_VitalityBoostPerRank	Vitality Boost Per Elite Rank	h61b66388gee60g4c43ga6degc9a4ac34d11b
LLENEMY_Variable_Elites_DamageBoostPerRank	Damage Boost Per Elite Rank	h72a033d2g5149g484fg86a8g82685c01a91b
