Key	Content	Handle
Stats_LLENEMY_BonusSkills_Source	Skilled: Sourcery	h2441b06cgd5a3g4039gb307g3c83762790c4
Stats_LLENEMY_Boost_Armor_10	Armor Boost	hfd7e86eag59d8g44ebgb158g019d6de9b814
Stats_LLENEMY_Boost_Armor_15	Armor Boost	h6f37a8adgd0e7g447fg816cg6248d5b69a10
Stats_LLENEMY_Boost_Armor_20	Armor Boost	hf60945a4g7f7ag445cgacceg7f43da4a7f06
Stats_LLENEMY_Boost_Armor_25	Armor Boost	h0c6343ecg8be2g4c1ag90b6g4549612a33e0
Stats_LLENEMY_Boost_Armor_30	Armor Boost	h78190c63gaa74g4228gb184g7cc2e09afb27
Stats_LLENEMY_Boost_Armor_35	Armor Boost	h7083987bg5f4dg45b6gbc43g96939df3b059
Stats_LLENEMY_Boost_Armor_40	Armor Boost	hd58a85d5g8c13g41a7gb3fegd9a7fbdd4e9d
Stats_LLENEMY_Boost_Armor_45	Armor Boost	h127721f1g27f1g4ffag9b50gf2720cedb009
Stats_LLENEMY_Boost_Armor_5	Armor Boost	h05040c61g84bfg4989ga083g48f7642fbeb5
Stats_LLENEMY_Boost_Armor_50	Armor Boost	h00b9a551g2b32g43d4g8c3fg450945250ef0
Stats_LLENEMY_Boost_Damage_10	Damage Boost	h842eaa46gb961g4b6dgbf83g833dd133bd7e
Stats_LLENEMY_Boost_Damage_15	Damage Boost	h0d80c25ag2866g4c58g9cdag227856e9e48c
Stats_LLENEMY_Boost_Damage_20	Damage Boost	hdc4e3c6dg30acg45c6ga046g0182ff2c70de
Stats_LLENEMY_Boost_Damage_25	Damage Boost	hb03b0770g292ag4844g977dgf0e7534a1f5b
Stats_LLENEMY_Boost_Damage_5	Damage Boost	h6f6ccb6ag9cc6g4122g9040g432f4e787491
Stats_LLENEMY_Boost_MagicArmor_10	Magic Armor Boost	h719b59cdg64e5g4fe1g97bbgd6bd66675614
Stats_LLENEMY_Boost_MagicArmor_15	Magic Armor Boost	h7dc61280g5743g4a60g85c1g8bde41a13abb
Stats_LLENEMY_Boost_MagicArmor_20	Magic Armor Boost	h897741cbg8002g4c03g816fgcdba9d369b54
Stats_LLENEMY_Boost_MagicArmor_25	Magic Armor Boost	hef0955d5g3d94g4d39g87b1g20872d999f16
Stats_LLENEMY_Boost_MagicArmor_30	Magic Armor Boost	hd65fa52bge450g485cg8d08g084b1ef35990
Stats_LLENEMY_Boost_MagicArmor_35	Magic Armor Boost	hce14d863g96b1g4817ga295gbea6423c0190
Stats_LLENEMY_Boost_MagicArmor_40	Magic Armor Boost	h8ab2aa74g8581g4bf1g8e93ge8405d3572f3
Stats_LLENEMY_Boost_MagicArmor_45	Magic Armor Boost	h95d57e81gc533g4236gbb95g2ee7097f5155
Stats_LLENEMY_Boost_MagicArmor_5	Magic Armor Boost	h8fecc0a7g0c7eg4a22g8528g1a6ac5bf5f30
Stats_LLENEMY_Boost_MagicArmor_50	Magic Armor Boost	hd571cf40g88eeg4dedgb36dg9297c7ffb725
Stats_LLENEMY_Boost_Vitality_10	Vitality Boost	h9edeb358g11e7g4372g92e7g8a164695e1e4
Stats_LLENEMY_Boost_Vitality_15	Vitality Boost	hf4b01510gb94fg4c53g973bgdd15df71e687
