Key	Content	Handle
LLENEMY_StatusText_MasterThief_Attacker	<font color='#33FF33' size='23'>*Stole [1]!*</font>	hb5ed98e3g8acbg404cgaab9gdf882ba463ce
LLENEMY_StatusText_MasterThief_Victim	<font color='#FF3333' size='23'>*Lost [1]!*</font>	h9b5ef2b3gc8c3g4a89g986egb3ac78cde891
LLENEMY_CombatLog_MasterThief	[1] stole <font color='#FF3333'>[2]</font> from [3] ([4]).	hf6b1ebf1g7e69g4958gb36cg2f8c60de8b0b
LLENEMY_GoldWithAmount	[1] [Handle:h55e5ec72g331dg4dc9g9532g4a68ba0bc2a3:Gold]	hc90c58dbgc927g4ba7g9535g6989ac8b67cb
LLENEMY_DisplayText_TotalCharactersLeveled	<font color='#BBFF00' size='23'>*[1] beings gained a new level of power...*</font>	h034ae0a4g858eg4d30g82dege3c983c8b18a
LLENEMY_DisplayText_TreasureGoblins_TurnsLeft	<font color='#FF3333' size='23'>[1] Turn(s) Left</font>	h62cbd27fgb53ag4e4bgaee0gb0dfd466fe48
LLENEMY_MessageBox_ConfirmEnemyLevelingCommit	Lock in the enemy scale? This will level up all non-player characters in the world to the the set level.<br><font color='#FF0000' size='26'>This cannot be undone.</font>	hff477e91gde34g4795g863ag2c508293666d
LLENEMY_MessageBox_SingleplayerUserWarning	<font color='#FF3737' size='23'>The EUO Singleplayer mod is active, yet the game is no longer singleplayer. Upgrade Info will not be synced for players.</font>	h745855c9g9761g40fdg8929g1fbc5ff29cb2
LLENEMY_Notification_ShadowItem_NoCrafting	<font color='#BF5FFF' size='23'>*The otherwordly properties of this item prevent tampering.*</font>	hffd1c196gaff6g48c9ga687g14752b048946
LLENEMY_ShadowDuplicationName	<font color='#BF5FFF'>[1] (SHADOW)</font>	h02023d82gc736g447fgaea3g327be0956688
LLENEMY_EliteName	<font color='#FFDE36'>[1] (ELITE)</font>	h6e63c146gcc1fg43f0g8b98gcf89cb4c1fc2
LLENEMY_EliteName	<font color='#00FFAA'>[1] (SOURCE-SPAWNED)</font>	h873b94aeg56aeg47c5gbf72g08bd3a09af51
LLENEMY_StatusText_AtusaBossActivated	<font color='#FF3737' size='26'>*Atusa's corpse oozes to life!*</font>	hbd7fc3f3g08f1g4684g8c47gccc404622fc6
LLENEMY_StatusText_CounterAttack	<font color='#FF3737' size='23'>Counter!</font>	h51e25546g078ag4d32gbb99g3af66b2dc917
LLENEMY_StatusText_ImmuneToDamageOnMove	<font color='#FF3737' size='18'>Immune to Movement-Based Damage Statuses</font>	ha0190ec0g350eg4c71g9456g078481ad4128
LLENEMY_StatusText_RageReduced	<font color='#FF3737' size='23'>Rage Reduced</font>	h5f654029g8f4ag454egbbd9g42e75c7fdfc1
LLENEMY_StatusText_SeekerDiscoveredTarget	<font color='#FF3737' size='26'>*Revealed!*</font>	h483cc43ag6b13g4d05gaad9gb3c595847c6a
LLENEMY_StatusText_VoidlingTransformed	<font color='#73F6FF' size='26'>Empowered Evolution</font>	h0c6fe9ccg70f0g434dgbe60gc2275abaa7d1
LLENEMY_StatusText_Cleansed	<font color='#73F6FF'>[1] Cleansed [2]</font>	h19830defg8efbg4be0ga890g34311649a588
LLENEMY_StatusText_GrenadeExploded	<font color='#FF3333'>[1] Exploded!</font>	hd8dc7391g5bc4g4e3dgb76dg00c32c9a1eaf
LLENEMY_CombatLog_GrenadeExploded	[1] fell and exploded a grenade ([2]) as a result ([3]).	h0872919dg5104g45begaa55g31bb1af5c925
LLENEMY_StatusText_TimeHasted	<font color='#88CCFF'>Time Skip!</font>	h1c47cb34gfc77g42eeg8731gc0e57eb857c1
LLENEMY_ModDisplayName	Super Enemy Upgrade Overhaul	hb216bc96gc66ag4016g9c6agf7af5a5d78d3
LLENEMY_ModDescription	A difficulty enhancement mod that upgrades enemies with random bonuses, new loot, and a plethora of optional features, such as voidwoken spawning from source skills, enemies being duplicated in combat, and a hard mode for the bravest of souls.	hdf18843dg2cbbg4ccfg9cdcgd2bad67e2dd5
