Key	Content	Handle
LLENEMY_BONUS_TREASURE_ROLL_Description	Character rolled a <font color='#FF0000'>Critical Failure (0)</font>, and now has to give bonus treasure if killed before this status expires. Hurry!	h1a306bc6gbee4g4d46g9748g69148e74ded0
LLENEMY_BONUS_TREASURE_ROLL_DisplayName	Bonus Treasure	h194ac7f5g9da2g4067g83efgf23de735ad79
LLENEMY_BONUSSKILLS_SET_ELITE_Description	Character has an elite set of new bonus skills.	h358b00a4g6320g494fg9441g94add11507ba
LLENEMY_BONUSSKILLS_SET_ELITE_DisplayName	Elite Skillset	h7040a2f0g29d3g43d6ga656gb5eb0aac1934
LLENEMY_BONUSSKILLS_SET_SOURCE_ELITE_Description	Character has an elite set of new bonus skills, and a mastery of sourcery.	h976f2a7cg5cc7g4172g8b51gd655b93c4889
LLENEMY_BONUSSKILLS_SET_SOURCE_ELITE_DisplayName	Elite Sourcery	hdf603fa9g2647g40efgb979gdf9aaaffc414
LLENEMY_BONUSSKILLS_SET_NORMAL_Description	Character has a set of new bonus skills.	h2e45720ag8842g4c73g917fg7e1d2044cb52
LLENEMY_BONUSSKILLS_SET_NORMAL_DisplayName	Bonus Skillset	h5aa2a41bgbaa4g46d0g9987ge5c19c4b4aa4
LLENEMY_BONUSSKILLS_SINGLE_Description	Character has a new bonus skill.	hbacea44ag4103g49ccgbd8fgb9f026bb437d
LLENEMY_BONUSSKILLS_SINGLE_DisplayName	Bonus Skill	he79478e5gfa95g4461gba2bg9122ba540b28
LLENEMY_BONUSSKILLS_SOURCE_Description	Character has a new bonus source skill.	h2b3daf7egef57g4286g9247gf5c0b9752757
LLENEMY_BONUSSKILLS_SOURCE_DisplayName	Bonus Source Skill	hd1a568b1g2c56g4343gb1fcg4ae8f47c28e4
LLENEMY_CHICKEN_OVERLORD_Description	Character is the Overlord for an armada of chickens. Beware! Bwark!	h35042572gd0f8g42f0gbc95g44d818841347
LLENEMY_CHICKEN_OVERLORD_DisplayName	Chicken Overlord	h9bc9d98ag9fa9g4d23g88c4ge55de8f8c73a
LLENEMY_DEMONIC_HASTED_Description	Character is as quick as a demon.<br><font color='#CD1F1F'>With how fast this character can move, they're almost guaranteed to slip on ice.</font>	h3784f369g657fg462dg8381g97d55c3229aa
LLENEMY_DOUBLE_DIP_Description	Character is growing even more powerful through a second round of upgrades!	hf6486123g0005g46c9g8a40ga098203e2ab6
LLENEMY_DOUBLE_DIP_DisplayName	Double Dip	hf180561cge97ag426cg84ddg83dd257ce95d
