treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"

new treasuretable "LLENEMY_GranadaStatus_GrenadeStash"
new subtable "6,1"
object category "T_ST_Grenades",1,0,0,0,0,0,0,0

new treasuretable "LLENEMY_CP_Easy_Common"
new subtable "1,1"
object category "T_RewardTiny",4,0,0,0,0,0,0,0
object category "T_Luck1",4,0,0,0,0,0,0,0
object category "T_RewardCombat",4,0,0,0,0,0,0,0
object category "T_ST_Scroll",1,0,0,0,0,0,0,0
new subtable "0,10;1,1"
object category "I_SCROLL_Resurrect",1,0,0,0,0,0,0,0

new treasuretable "LLENEMY_CP_Easy_Uncommon"
new subtable "1,1"
object category "T_ST_RewardCombat_Group_1",4,0,0,0,0,0,0,0
object category "T_ST_Legendary_3_Group_4",1,0,0,0,0,0,0,0
object category "T_RewardCombat",4,0,0,0,0,0,0,0
object category "T_LLENEMY_CP_Easy_Common",4,0,0,0,0,0,0,0
new subtable "0,10;1,1"
object category "I_SCROLL_Resurrect",1,0,0,0,0,0,0,0

new treasuretable "LLENEMY_CP_Easy_Rare"
new subtable "1,1"
object category "T_ST_Legendary_3_Group_21",1,0,0,0,0,0,0,0
object category "T_ST_RewardCombat_Group_3",6,0,0,0,0,0,0,0
object category "T_LLENEMY_CP_Easy_Uncommon",10,0,0,0,0,0,0,0
object category "T_LLENEMY_CP_Easy_Common",10,0,0,0,0,0,0,0
object category "T_ST_RandomLootSuper",1,0,0,0,0,0,0,0
object category "NeoGoldReward_Medium",8,0,0,0,0,0,0,0
new subtable "0,10;2,1"
object category "I_SCROLL_Resurrect",1,0,0,0,0,0,0,0

new treasuretable "LLENEMY_CP_Medium_Common"
new subtable "1,1"
object category "T_ST_Neo_Gear_Normal",3,0,0,0,0,0,0,0
object category "T_ST_Neo_LegendaryPotions",1,0,0,0,0,0,0,0
object category "T_ST_WeaponGenMagicTrader",6,0,0,0,0,0,0,0
object category "T_ST_RewardCombat_Group_8",10,0,0,0,0,0,0,0
object category "T_ST_Scroll",4,0,0,0,0,0,0,0
new subtable "0,10;1,1"
object category "I_SCROLL_Resurrect",1,0,0,0,0,0,0,0

new treasuretable "LLENEMY_CP_Medium_Uncommon"
new subtable "1,1"
object category "T_ST_Legendary_3_Group_17",1,0,0,0,0,0,0,0
object category "T_ST_Medium_Group_1",51,0,0,0,0,0,0,0
object category "T_ST_ArmorGenMagicTrader",4,0,0,0,0,0,0,0
object category "T_LLENEMY_CP_Medium_Common",4,0,0,0,0,0,0,0
object category "T_ST_WeaponMagic",6,0,0,0,0,0,0,0
object category "T_ST_ArmorMagic",6,0,0,0,0,0,0,0
object category "T_ST_RingAmuletBeltMagic",6,0,0,0,0,0,0,0
new subtable "0,8;1,1"
object category "I_SCROLL_Resurrect",1,0,0,0,0,0,0,0

new treasuretable "LLENEMY_CP_Medium_Rare"
new subtable "1,1"
object category "T_ST_Legendary_3_Group_21",1,0,0,0,0,0,0,0
object category "T_ST_Medium_Group_24",2,0,0,0,0,0,0,0
object category "T_LLENEMY_CP_Medium_Uncommon",3,0,0,0,0,0,0,0
object category "T_LLENEMY_CP_Medium_Common",3,0,0,0,0,0,0,0
object category "T_ST_WeaponRare",5,0,0,0,0,0,0,0
object category "T_ST_ArmorRare",5,0,0,0,0,0,0,0
object category "T_ST_RingAmuletBeltRare",5,0,0,0,0,0,0,0
object category "T_ST_WeaponMagic",5,0,0,0,0,0,0,0
object category "T_ST_ArmorMagic",5,0,0,0,0,0,0,0
object category "T_ST_RingAmuletBeltMagic",5,0,0,0,0,0,0,0
new subtable "0,8;2,1"
object category "I_SCROLL_Resurrect",1,0,0,0,0,0,0,0

new treasuretable "LLENEMY_CP_Hard_Common"
new subtable "1,1"
object category "T_ST_Legendary_3",2,0,0,0,0,0,0,0
object category "T_ST_Legendary_3_Group_4",2,0,0,0,0,0,0,0
object category "T_ST_Legendary_3_Group_9",1,0,0,0,0,0,0,0
object category "T_LLENEMY_CP_Medium_Rare",4,0,0,0,0,0,0,0
new subtable "0,10;2,1"
object category "I_SCROLL_Resurrect",1,0,0,0,0,0,0,0

new treasuretable "LLENEMY_CP_Hard_Rare"
new subtable "1,1"
object category "T_LLENEMY_CP_Hard_Common",5,0,0,0,0,0,0,0
object category "T_QuestReward_Fixed_Hard",3,0,0,0,0,0,0,0
